"Leonardo da Vinci","Italy","scientist",220
"Johann Wolfgang von Goethe","Germany","unknown",210
"Emanuel Swedenborg","Sweden","philosopher",205
"Gottfried Wilhelm von Leibniz","Germany","philosopher",205
"John Stuart Mill","England","philosopher",200
"Sir Francis Galton","British","scientist",200
"Kim Ung-Yong","Korea","unknown",200
"Thomas Wolsey","England","politician",200
"William James Sidis","USA","unknown",200
"Hugo Grotius","Netherlands","jurist",200
