Date,Open,High,Low,Close,Adj Close,Volume
2014-12-10,5.167500,5.187500,5.062500,5.067500,4.868575,20436400
2014-12-11,5.097500,5.132500,5.055000,5.065000,4.866174,13565200
2014-12-12,4.997500,5.042500,4.902500,4.907500,4.714856,32396400
2014-12-15,4.965000,5.055000,4.877500,4.892500,4.700446,25469600
2014-12-16,4.887500,4.965000,4.835000,4.837500,4.647604,18530800
2014-12-17,4.935000,5.042500,4.775000,5.035000,4.837351,34559600
2014-12-18,5.097500,5.157500,5.007500,5.055000,4.856566,22615600
2014-12-19,5.090000,5.125000,5.042500,5.105000,4.904602,32552800
2014-12-22,5.100000,5.195000,5.082500,5.195000,4.991072,14897600
2014-12-23,5.235000,5.260000,5.157500,5.162500,4.959846,10928000
2014-12-24,5.175000,5.182500,5.137500,5.142500,4.940631,4564400
2014-12-26,5.142500,5.175000,5.130000,5.147500,4.945434,5263600
2014-12-29,5.132500,5.175000,5.107500,5.140000,4.938231,8294400
2014-12-30,5.105000,5.130000,5.085000,5.092500,4.892594,11212000
2014-12-31,5.100000,5.127500,4.997500,5.012500,4.815734,16630000
2015-01-02,5.032500,5.070000,4.952500,5.032500,4.834949,11368000
2015-01-05,5.032500,5.047500,4.925000,4.947500,4.753285,19795200
2015-01-06,4.955000,4.960000,4.792500,4.797500,4.609174,19776400
2015-01-07,4.832500,4.875000,4.770000,4.785000,4.597166,32180800
2015-01-08,4.840000,4.995000,4.837500,4.965000,4.770099,28378000
2015-01-09,4.982500,5.022500,4.915000,4.985000,4.789314,20954000
2015-01-12,4.997500,5.000000,4.877500,4.922500,4.729268,19073200
2015-01-13,4.960000,5.060000,4.880000,4.915000,4.722062,23672000
2015-01-14,4.862500,4.950000,4.850000,4.935000,4.741276,15526000
2015-01-15,4.970000,5.000000,4.897500,4.900000,4.707651,18893200
2015-01-16,4.892500,4.995000,4.877500,4.990000,4.794118,18151200
2015-01-20,5.025000,5.052500,4.942500,5.005000,4.808528,14030800
2015-01-21,4.977500,5.087500,4.942500,5.075000,4.875781,14478000
2015-01-22,5.085000,5.177500,5.032500,5.162500,4.959846,15971200
2015-01-23,5.167500,5.187500,5.125000,5.177500,4.974257,12041600
2015-01-26,5.155000,5.180000,5.122500,5.155000,4.952641,13324000
2015-01-27,5.075000,5.080000,4.897500,4.907500,4.714856,35794800
2015-01-28,4.967500,4.987500,4.825000,4.827500,4.637998,27272800
2015-01-29,4.830000,4.972500,4.807500,4.945000,4.750885,23534000
2015-01-30,4.910000,4.967500,4.792500,4.800000,4.611577,29820000
2015-02-02,4.830000,4.925000,4.735000,4.905000,4.712456,25960400
2015-02-03,4.940000,5.032500,4.915000,5.027500,4.830146,18346800
2015-02-04,5.012500,5.097500,4.997500,5.040000,4.842154,18151600
2015-02-05,5.045000,5.125000,5.040000,5.122500,4.921417,14044800
2015-02-06,5.117500,5.177500,5.077500,5.100000,4.899800,21052400
2015-02-09,5.070000,5.110000,5.037500,5.095000,4.894994,27394400
2015-02-10,5.100000,5.240000,5.077500,5.237500,5.031901,22620400
2015-02-11,5.250000,5.250000,5.167500,5.202500,4.998275,32083200
2015-02-12,5.500000,5.625000,5.467500,5.575000,5.356153,67690400
2015-02-13,5.562500,5.585000,5.477500,5.577500,5.358555,31008400
2015-02-17,5.567500,5.622500,5.532500,5.595000,5.375369,20334000
2015-02-18,5.587500,5.597500,5.520000,5.530000,5.312920,17094800
2015-02-19,5.600000,5.610000,5.520000,5.545000,5.327332,16943200
2015-02-20,5.540000,5.587500,5.500000,5.585000,5.365761,15775200
2015-02-23,5.582500,5.582500,5.512500,5.540000,5.322527,12500800
2015-02-24,5.540000,5.577500,5.490000,5.577500,5.379187,14935600
2015-02-25,5.555000,5.580000,5.510000,5.535000,5.338200,12382000
2015-02-26,5.540000,5.582500,5.505000,5.550000,5.352667,15286400
2015-02-27,5.535000,5.547500,5.495000,5.515000,5.318910,15749200
2015-03-02,5.500000,5.680000,5.492500,5.650000,5.449110,30151200
2015-03-03,5.607500,5.635000,5.527500,5.545000,5.347844,16034400
2015-03-04,5.525000,5.620000,5.502500,5.607500,5.408121,22684000
2015-03-05,5.607500,5.725000,5.592500,5.715000,5.511800,32305600
2015-03-06,5.682500,5.710000,5.632500,5.637500,5.437056,25739200
2015-03-09,5.640000,5.695000,5.627500,5.652500,5.451522,22238800
2015-03-10,5.677500,5.787500,5.667500,5.750000,5.545556,52721200
2015-03-11,5.750000,5.825000,5.705000,5.720000,5.516622,26212000
2015-03-12,5.665000,5.707500,5.560000,5.667500,5.465989,40697200
2015-03-13,5.640000,5.690000,5.562500,5.675000,5.473222,35928800
2015-03-16,5.720000,5.777500,5.682500,5.742500,5.538321,23695600
2015-03-17,5.730000,5.815000,5.690000,5.812500,5.605833,29990000
2015-03-18,5.812500,5.842500,5.665000,5.717500,5.514211,41384400
2015-03-19,5.737500,5.825000,5.695000,5.805000,5.598600,31075600
2015-03-20,5.852500,5.902500,5.797500,5.867500,5.658877,46208400
2015-03-23,5.692500,5.767500,5.675000,5.677500,5.475634,42601200
2015-03-24,5.660000,5.700000,5.575000,5.600000,5.400888,33048000
2015-03-25,5.597500,5.597500,5.242500,5.260000,5.072978,54255200
2015-03-26,5.152500,5.265000,5.115000,5.242500,5.056100,31192000
2015-03-27,5.272500,5.365000,5.187500,5.345000,5.154955,31828800
2015-03-30,5.370000,5.395000,5.300000,5.367500,5.176656,25325200
2015-03-31,5.352500,5.357500,5.227500,5.232500,5.046454,35727600
2015-04-01,5.252500,5.270000,5.162500,5.252500,5.065745,33076800
2015-04-02,5.282500,5.297500,5.220000,5.265000,5.077799,19220400
2015-04-06,5.242500,5.435000,5.187500,5.417500,5.224876,51586400
2015-04-07,5.417500,5.525000,5.387500,5.465000,5.270689,41396400
2015-04-08,5.470000,5.525000,5.417500,5.505000,5.309265,36643200
2015-04-09,5.462500,5.650000,5.460000,5.632500,5.432233,37943200
2015-04-10,5.637500,5.692500,5.617500,5.690000,5.487689,25872800
2015-04-13,5.677500,5.710000,5.612500,5.637500,5.437056,23672400
2015-04-14,5.615000,5.637500,5.535000,5.590000,5.391244,22027600
2015-04-15,5.605000,5.700000,5.577500,5.657500,5.456345,24356000
2015-04-16,5.625000,5.672500,5.582500,5.622500,5.422589,15528400
2015-04-17,5.505000,5.605000,5.502500,5.550000,5.352667,29363600
2015-04-20,5.575000,5.610000,5.512500,5.522500,5.326144,23162400
2015-04-21,5.590000,5.590000,5.487500,5.515000,5.318910,23045600
2015-04-22,5.547500,5.585000,5.462500,5.577500,5.379187,20742000
2015-04-23,5.475000,5.607500,5.412500,5.555000,5.357489,25938000
2015-04-24,5.552500,5.555000,5.445000,5.507500,5.311679,24096000
